group_name,date,user_id,original_text,ioc_type,ioc_value,source
Unknown,2024-04-23 03:18:14,,https://www..nist.gov/itl/applied-cybersecurity/nice/resources/online-learning-content,URL (Dirty),https://www..nist.gov/itl/applied-cybersecurity/nice/resources/online-learning-content,regex-greedy
Unknown,2024-04-25 13:07:35,,"EN: ( 🇺🇸 )
🏃 Target | https://happytiger.co.uk
💖 Method | HTTP-NEMESIS
🛍 Concurrents | 1
❤️ Check-Host Report

CN: ( 🇨🇳 )
🏃 目標 | https://happytiger.co.uk
💖 方法 | HTTP-NEMESIS
🛍 並發數 | 1
❤️ 证明
_____________________________

💲  Auto Payments
💖  Main Channel
❤  Chat",URL (Dirty),https://happytiger.co.uk,regex-greedy
Unknown,2024-04-18 04:40:31,,"EN: ( 🇺🇸 )
🏃 Target | https://zen.com
💖 Method | HTTP-BROWSER
🛍 Concurrents | 3
❤️ Check-Host Report

CN: ( 🇨🇳 )
🏃 目標 | https://zen.com
💖 方法 | HTTP-BROWSER
🛍 並發數 | 3
❤️ 证明
_____________________________

💲  Auto Payments
💖  Main Channel
❤  Chat",URL (Dirty),https://zen.com,regex-greedy
Unknown,2024-04-16 20:40:41,,"EN: ( 🇺🇸 )
🏃 Target | 51.75.16.245 (DSTAT)
💖 Method | DNS
🛍 Concurrents | 10
⚡️ 130 Gbps

CN: ( 🇨🇳 )
🏃 目標 | 51.75.16.245 (DSTAT)
💖 方法 | DNS
🛍 並發數 | 10
⚡️ 130 Gbps
_____________________________

💲  Auto Payments (Coupon Code: NEO15) ☄️
💖  Main Channel
❤  Chat",IPv4 (Loose),51.75.16.245,regex-loose
Unknown,2024-04-16 15:20:22,,"EN: ( 🇺🇸 )
🏃 Target | https://vpswala.org/
💖 Method | HTTP-NEMESIS
🛍 Concurrents | 1
❤️ Check-Host Report

CN: ( 🇨🇳 )
🏃 目標 | https://vpswala.org/
💖 方法 | HTTP-NEMESIS
🛍 並發數 | 1
❤️ 证明
_____________________________

💲  Auto Payments
💖  Main Channel
❤  Chat",URL (Dirty),https://vpswala.org/,regex-greedy
Unknown,2024-03-08 14:00:03,,"EN: ( 🇺🇸 )
🏃 Target | https://my.centorly.ru/login
💖 Method | HTTP-NEMESIS
🛍 Concurrents | 1
❤️ Check-Host Report

CN: ( 🇨🇳 )
🏃 目標 | https://my.centorly.ru/login
💖 方法 | HTTP-NEMESIS
🛍 並發數 | 1
❤️ 证明
_____________________________

💲  Auto Payments (Coupon Code: NEO15) ☄️
💖  Main Channel
❤  Chat",URL (Dirty),https://my.centorly.ru/login,regex-greedy
Unknown,2024-03-02 08:20:29,,"EN: ( 🇺🇸 )
🏃 Target | https://byron.ro/en/blog/
💖 Method | HTTP-NEMESIS
🛍 Concurrents | 1
❤️ Check-Host Report

CN: ( 🇨🇳 )
🏃 目標 | https://byron.ro/en/blog/
💖 方法 | HTTP-NEMESIS
🛍 並發數 | 1
❤️ 证明
_____________________________

💲  Auto Payments (Coupon Code: NEO15) ☄️
💖  Main Channel
❤  Chat",URL (Dirty),https://byron.ro/en/blog/,regex-greedy
Unknown,2024-03-02 08:20:28,,"EN: ( 🇺🇸 )
🏃 Target | https://blogcay.com/
💖 Method | HTTP-NEMESIS
🛍 Concurrents | 1
❤️ Check-Host Report

CN: ( 🇨🇳 )
🏃 目標 | https://blogcay.com/
💖 方法 | HTTP-NEMESIS
🛍 並發數 | 1
❤️ 证明
_____________________________

💲  Auto Payments (Coupon Code: NEO15) ☄️
💖  Main Channel
❤  Chat",URL (Dirty),https://blogcay.com/,regex-greedy
Unknown,2024-03-02 05:26:10,,"EN: ( 🇺🇸 )
🏃 Target | https://www.hetzner.com/
💖 Method | HTTP-NEMESIS
🛍 Concurrents | 1
❤️ Check-Host Report

CN: ( 🇨🇳 )
🏃 目標 | https://www.hetzner.com/
💖 方法 | HTTP-NEMESIS
🛍 並發數 | 1
❤️ 证明
_____________________________

💲  Auto Payments (Coupon Code: NEO15) ☄️
💖  Main Channel
❤  Chat",URL (Dirty),https://www.hetzner.com/,regex-greedy
Unknown,2024-04-07 07:29:43,,https://money.alfabank.ru/mr/keIniWDQBs,URL (Dirty),https://money.alfabank.ru/mr/keIniWDQBs,regex-greedy
