group,topic,date,msg_id,ioc_type,ioc_value,message_text
Устройства Sber с ассистентом Салют,Technologies,2024-03-01 17:08:04,274916,fqdn,sberdevices.ru,https://sberdevices.ru/help/sberboom-mini/start/setup
Устройства Sber с ассистентом Салют,Technologies,2024-03-01 17:08:04,274916,url,https://sberdevices.ru/help/sberboom-mini/start/setup,https://sberdevices.ru/help/sberboom-mini/start/setup
Устройства Sber с ассистентом Салют,Technologies,2024-03-01 17:33:26,274936,fqdn,sberdevices.ru,https://sberdevices.ru/help/sbertv/sbertv-settings/sbertv-firmware
Устройства Sber с ассистентом Салют,Technologies,2024-03-01 17:33:26,274936,url,https://sberdevices.ru/help/sbertv/sbertv-settings/sbertv-firmware,https://sberdevices.ru/help/sbertv/sbertv-settings/sbertv-firmware
Устройства Sber с ассистентом Салют,Technologies,2024-03-01 19:54:08,275011,fqdn,sberdevices.ru,Ссылки дали выше. На всякий случай ещё раз продублируем: https://sberdevices.ru/help/sberboom-mini/troubleshooting/reset
Устройства Sber с ассистентом Салют,Technologies,2024-03-01 19:54:08,275011,url,https://sberdevices.ru/help/sberboom-mini/troubleshooting/reset,Ссылки дали выше. На всякий случай ещё раз продублируем: https://sberdevices.ru/help/sberboom-mini/troubleshooting/reset
Устройства Sber с ассистентом Салют,Technologies,2024-03-02 01:16:57,275057,fqdn,sberdevices.ru,"Заказ оформляли на сайте https://sberdevices.ru/ ? Если так, рекомендуем проверить папку ""Спам"""
Устройства Sber с ассистентом Салют,Technologies,2024-03-02 01:16:57,275057,url,https://sberdevices.ru,"Заказ оформляли на сайте https://sberdevices.ru/ ? Если так, рекомендуем проверить папку ""Спам"""
Устройства Sber с ассистентом Салют,Technologies,2024-03-02 05:57:42,275104,fqdn,androidtvbox.ru,"Есть и бесплатный просмотр каналов Лайт НD, Lampa-но ее надо настраивать, из платных так же есть Kion. Вот кстате список программ доя просмотра Тв 
https://androidtvbox.ru/category/tv-i-radio/"
Устройства Sber с ассистентом Салют,Technologies,2024-03-02 05:57:42,275104,url,https://androidtvbox.ru/category/tv-i-radio/,"Есть и бесплатный просмотр каналов Лайт НD, Lampa-но ее надо настраивать, из платных так же есть Kion. Вот кстате список программ доя просмотра Тв 
https://androidtvbox.ru/category/tv-i-radio/"
Устройства Sber с ассистентом Салют,Technologies,2024-03-02 09:22:19,275208,fqdn,t.me,Ответили вам выше: https://t.me/sberdevices_chat/275177
Устройства Sber с ассистентом Салют,Technologies,2024-03-02 09:22:19,275208,telegramHandle,sberdevices_chat,Ответили вам выше: https://t.me/sberdevices_chat/275177
Устройства Sber с ассистентом Салют,Technologies,2024-03-02 09:22:19,275208,url,https://t.me/sberdevices_chat/275177,Ответили вам выше: https://t.me/sberdevices_chat/275177
Устройства Sber с ассистентом Салют,Technologies,2024-03-02 10:10:24,275257,fqdn,t.me,"Нет, мы написали, выше (https://t.me/sberdevices_chat/275245), что указанный вами чат к нам не относится, это фейковый аккаунт.
Не рекомендуем переходить по ссылкам и отправлять свои данные"
Устройства Sber с ассистентом Салют,Technologies,2024-03-02 10:10:24,275257,telegramHandle,sberdevices_chat,"Нет, мы написали, выше (https://t.me/sberdevices_chat/275245), что указанный вами чат к нам не относится, это фейковый аккаунт.
Не рекомендуем переходить по ссылкам и отправлять свои данные"
Устройства Sber с ассистентом Салют,Technologies,2024-03-02 10:10:24,275257,url,https://t.me/sberdevices_chat/275245,"Нет, мы написали, выше (https://t.me/sberdevices_chat/275245), что указанный вами чат к нам не относится, это фейковый аккаунт.
Не рекомендуем переходить по ссылкам и отправлять свои данные"
Устройства Sber с ассистентом Салют,Technologies,2024-03-02 10:45:55,275277,fqdn,sberdevices.ru,Здравствуйте! Посмотреть адреса АСЦ можно на сайте: https://sberdevices.ru/help/service-center/
Устройства Sber с ассистентом Салют,Technologies,2024-03-02 10:45:55,275277,url,https://sberdevices.ru/help/service-center/,Здравствуйте! Посмотреть адреса АСЦ можно на сайте: https://sberdevices.ru/help/service-center/
Устройства Sber с ассистентом Салют,Technologies,2024-03-02 16:04:16,275439,fqdn,activation.sber.ru,Здравствуйте. Над этим работаем 👌 Пока рекомендуем пользоваться сайтом https://activation.sber.ru/ или СберБанк Онлайн для управления нашими устройствами
Устройства Sber с ассистентом Салют,Technologies,2024-03-02 16:04:16,275439,url,https://activation.sber.ru,Здравствуйте. Над этим работаем 👌 Пока рекомендуем пользоваться сайтом https://activation.sber.ru/ или СберБанк Онлайн для управления нашими устройствами
Устройства Sber с ассистентом Салют,Technologies,2024-03-02 19:44:58,275599,fqdn,activation.sber.ru,Проверьте подключение к интернету на устройстве и телефоне. Отключите ТВ от сети на 30 секунд и включите снова. Попробуйте активировать на сайте activation.sber.ru
Устройства Sber с ассистентом Салют,Technologies,2024-03-03 05:44:15,275713,fqdn,wi.fi,"Здравствуйте, уезжали и колонку сбер.бум отключали от сети. Подключили обратно говорит оу проблемы с интернетом. Разрывали пару, сбрасывали до заводских не работает. На домашних устройствах wi.fi работает"
Устройства Sber с ассистентом Салют,Technologies,2024-03-03 05:46:45,275716,fqdn,wi.fi,К wi.fi
Устройства Sber с ассистентом Салют,Technologies,2024-03-03 06:44:36,275772,fqdn,sberdevices.ru,Инструкция по сбросу настроек здесь: https://sberdevices.ru/help/sberboom-mini/troubleshooting/reset
Устройства Sber с ассистентом Салют,Technologies,2024-03-03 06:44:36,275772,url,https://sberdevices.ru/help/sberboom-mini/troubleshooting/reset,Инструкция по сбросу настроек здесь: https://sberdevices.ru/help/sberboom-mini/troubleshooting/reset
