group,topic,language,date,msg_id,ioc_type,ioc_value,message_text
IBM EXAM SOLUTION,Education,English,2024-03-09 02:38:43,4138816,fqdn,careers.ibm.com,"IBM Off Campus Drive 

 🎖Batch  -     2024 2023 2022 2021 2020                         https://careers.ibm.com/job/19969224/back-end-developer-bangalore-in/

WhatsApp  -   https://bit.ly/3tcjxV3"
IBM EXAM SOLUTION,Education,English,2024-03-09 02:38:43,4138816,fqdn,bit.ly,"IBM Off Campus Drive 

 🎖Batch  -     2024 2023 2022 2021 2020                         https://careers.ibm.com/job/19969224/back-end-developer-bangalore-in/

WhatsApp  -   https://bit.ly/3tcjxV3"
IBM EXAM SOLUTION,Education,English,2024-03-09 02:38:43,4138816,url,https://careers.ibm.com/job/19969224/back-end-developer-bangalore-in/,"IBM Off Campus Drive 

 🎖Batch  -     2024 2023 2022 2021 2020                         https://careers.ibm.com/job/19969224/back-end-developer-bangalore-in/

WhatsApp  -   https://bit.ly/3tcjxV3"
IBM EXAM SOLUTION,Education,English,2024-03-09 02:38:43,4138816,url,https://bit.ly/3tcjxV3,"IBM Off Campus Drive 

 🎖Batch  -     2024 2023 2022 2021 2020                         https://careers.ibm.com/job/19969224/back-end-developer-bangalore-in/

WhatsApp  -   https://bit.ly/3tcjxV3"
IBM EXAM SOLUTION,Education,English,2024-03-09 14:16:57,4138977,email,cg_interview_helpdesk.in@capgemini.com.es,cg_interview_helpdesk.in@capgemini.com.es
IBM EXAM SOLUTION,Education,English,2024-03-09 14:16:57,4138977,fqdn,capgemini.com.es,cg_interview_helpdesk.in@capgemini.com.es
IBM EXAM SOLUTION,Education,English,2024-03-10 11:21:08,4139342,fqdn,youtu.be,"TalentSystems Off Campus Drive 

 🎖Batch  -      2024  2025
         https://youtu.be/OV35cLjG73g?si=chzZBbCOUHUZhRr_

WhatsApp  -   https://bit.ly/3tcjxV3"
IBM EXAM SOLUTION,Education,English,2024-03-10 11:21:08,4139342,fqdn,bit.ly,"TalentSystems Off Campus Drive 

 🎖Batch  -      2024  2025
         https://youtu.be/OV35cLjG73g?si=chzZBbCOUHUZhRr_

WhatsApp  -   https://bit.ly/3tcjxV3"
IBM EXAM SOLUTION,Education,English,2024-03-10 11:21:08,4139342,url,https://youtu.be/OV35cLjG73g?si=chzZBbCOUHUZhRr_,"TalentSystems Off Campus Drive 

 🎖Batch  -      2024  2025
         https://youtu.be/OV35cLjG73g?si=chzZBbCOUHUZhRr_

WhatsApp  -   https://bit.ly/3tcjxV3"
IBM EXAM SOLUTION,Education,English,2024-03-10 11:21:08,4139342,url,https://bit.ly/3tcjxV3,"TalentSystems Off Campus Drive 

 🎖Batch  -      2024  2025
         https://youtu.be/OV35cLjG73g?si=chzZBbCOUHUZhRr_

WhatsApp  -   https://bit.ly/3tcjxV3"
