group_name,username,message_date,original,translated,score,found_at
Bounty Detective Community,Bounties,2024-04-28 09:51:30,There Will be signature campaign ?,There Will be signature campaign ?,0.6644872426986694,2025-11-25 10:40:35.502350
Bounty Detective Community,Bounties,2024-04-23 12:00:56,Trust wallet BSC address,Trust wallet BSC address,0.9967936873435974,2025-11-25 10:41:15.202033
Bounty Detective Community,Bounties,2024-04-19 13:42:30,Luxury contract address,Luxury contract address,0.9128766655921936,2025-11-25 10:41:57.889554
Bounty Detective Community,Bounties,2024-04-17 13:38:19,There is no specific date,There is no specific date,0.9987568855285645,2025-11-25 10:42:17.193652
Bounty Detective Community,Bounties,2024-04-16 15:26:11,Others,Others,0.979245662689209,2025-11-25 10:42:25.395376
Bounty Detective Community,Bounties,2024-04-16 09:22:38,Sir was said to launch a new campaign this week,Sir was said to launch a new campaign this week,0.9999430179595947,2025-11-25 10:42:33.199053
Bounty Detective Community,Bounties,2024-04-16 05:10:52,Airdrop end date is 15th April and the distribution date is 30th April.,Airdrop end date is 15th April and the distribution date is 30th April.,0.9919107556343079,2025-11-25 10:42:44.706034
Bounty Detective Community,Bounties,2024-04-14 18:35:24,The distribution will begin on 15th April.,The distribution will begin on 15th April.,0.999417781829834,2025-11-25 10:43:08.977909
Bounty Detective Community,Bounties,2024-04-14 18:06:20,TigerMeme,TigerMeme,0.9904548525810242,2025-11-25 10:43:10.186663
Bounty Detective Community,Bounties,2024-04-12 16:48:09,"The distribution will begin on 15th April, 2024.","The distribution will begin on 15th April, 2024.",0.999474823474884,2025-11-25 10:43:30.164411
Bounty Detective Community,Bounties,2024-04-11 12:00:55,"Distribution date is May 20th,2024.","Distribution date is May 20th,2024.",0.9992146492004395,2025-11-25 10:43:39.487434
Bounty Detective Community,Bounties,2024-04-10 17:02:59,Luxury Bounty Distributions time,Luxury Bounty Distributions time,0.9178797006607056,2025-11-25 10:43:47.149203
Bounty Detective Community,Bounties,2024-04-10 16:43:33,- Eid Mubarak 🌙❤️,- Eid Mubarak 🌙❤️,0.987497091293335,2025-11-25 10:43:48.476421
Bounty Detective Community,Bounties,2024-04-10 03:22:39,In the bot I click the link and it redirects me to this group.,In the bot I click the link and it redirects me to this group.,0.9476975202560425,2025-11-25 10:43:58.692664
Bounty Detective Community,Bounties,2024-04-10 03:11:17,"Distribution date is May 20th,2024.","Distribution date is May 20th,2024.",0.9992146492004395,2025-11-25 10:43:59.778912
Bounty Detective Community,Bounties,2024-04-08 11:54:36,The spreadsheet will be finalized before distribution.,The spreadsheet will be finalized before distribution.,0.8689848780632019,2025-11-25 10:44:11.865716
Bounty Detective Community,Bounties,2024-04-08 11:50:46,Why is Luxury Coin Bounty Token update not starting?,Why is Luxury Coin Bounty Token update not starting?,0.9142135977745056,2025-11-25 10:44:12.522640
